order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,quality_score,year,quarter,month,month_name,country,city,specialty,tier,avg_quality_score,category,product_line,spec,weight_kg
281,2,2,50,627.91,31395.5,12,97.4,2023,4,10,October,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
296,2,7,50,661.88,33094,7,94,2023,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
314,2,1,50,581.57,29078.5,18,96.2,2023,4,11,November,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
486,2,1,50,607.13,30356.5,7,99,2024,2,4,April,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
371,2,1,50,631.51,31575.5,9,97.6,2024,1,1,January,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
543,2,4,50,650.33,32516.5,13,99.4,2024,2,6,June,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
412,2,4,50,625.52,31276,16,99.3,2024,1,2,February,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
196,2,2,50,618.34,30917,8,98.4,2023,3,7,July,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
366,2,2,50,607.52,30376,9,97.2,2024,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
658,2,5,50,557.54,27877,9,97.2,2024,4,10,October,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
190,2,7,50,584.22,29211,14,94.5,2023,3,7,July,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
19,2,7,50,657.82,32891,6,95.6,2023,1,1,January,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
55,2,3,50,669.63,33481.5,11,99.2,2023,1,2,February,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
586,2,2,50,585.81,29290.5,16,96.7,2024,3,8,August,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
167,2,3,50,668.48,33424,16,98.2,2023,2,6,June,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
496,2,4,50,608.47,30423.5,7,96.5,2024,2,5,May,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
107,2,7,50,639.1,31955,8,94.4,2023,2,4,April,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
99,2,2,50,636.8,31840,8,95.6,2023,2,4,April,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
70,2,2,50,573.39,28669.5,16,98.8,2023,1,3,March,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
19,2,2,50,615.65,30782.5,18,98.3,2023,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
141,2,2,50,606.73,30336.5,15,96.5,2023,2,5,May,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
169,2,4,50,569.53,28476.5,7,98.7,2023,2,6,June,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
81,2,7,50,547.21,27360.5,14,93,2023,1,3,March,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
160,2,2,50,616.11,30805.5,13,95.1,2023,2,6,June,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
99,2,3,50,633.95,31697.5,14,97.4,2023,2,4,April,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
190,2,2,50,570.71,28535.5,7,95.1,2023,3,7,July,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
646,2,6,50,594.91,29745.5,5,97.6,2024,4,10,October,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
18,2,7,50,636.92,31846,8,93.1,2023,1,1,January,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
470,2,4,50,548.96,27448,17,96.4,2024,2,4,April,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
437,2,6,50,619.17,30958.5,8,95.6,2024,1,3,March,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
437,2,4,50,552.57,27628.5,11,98.1,2024,1,3,March,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
125,2,6,50,626.91,31345.5,6,96.4,2023,2,5,May,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
616,2,7,50,579.97,28998.5,12,94.1,2024,3,9,September,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
196,2,2,50,577.97,28898.5,16,98.3,2023,3,7,July,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
629,2,6,50,646.31,32315.5,8,95.8,2024,3,9,September,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
605,2,7,50,634.66,31733,12,93.6,2024,3,8,August,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
618,2,5,50,616.49,30824.5,7,95.5,2024,3,9,September,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
327,2,1,50,557.21,27860.5,9,96.9,2023,4,11,November,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
555,2,3,50,625.1,31255,8,97.9,2024,3,7,July,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
169,2,4,50,584.96,29248,12,96.5,2023,2,6,June,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
380,2,2,50,649.73,32486.5,10,97.9,2024,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
621,2,6,50,641.51,32075.5,12,94.2,2024,3,9,September,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
202,2,5,50,642.53,32126.5,8,93.8,2023,3,7,July,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
364,2,5,50,658.28,32914,16,93.6,2023,4,12,December,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
403,2,7,50,593.56,29678,9,95.8,2024,1,2,February,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
514,2,3,50,602.68,30134,7,97.6,2024,2,5,May,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
357,2,2,50,617.33,30866.5,12,95.5,2023,4,12,December,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
165,2,3,50,666.99,33349.5,14,96.5,2023,2,6,June,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
576,2,1,50,636.05,31802.5,8,99.4,2024,3,7,July,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
8,2,4,50,566.39,28319.5,9,99,2023,1,1,January,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
364,2,4,50,561.49,28074.5,8,98.9,2023,4,12,December,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
254,2,4,50,617.23,30861.5,11,97.1,2023,3,9,September,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
573,2,5,50,561.33,28066.5,10,96.3,2024,3,7,July,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
542,2,4,50,562.19,28109.5,13,97.2,2024,2,6,June,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.15
598,2,1,50,592.44,29622,14,98.8,2024,3,8,August,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
22,2,6,50,584.3,29215,13,95.7,2023,1,1,January,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
17,2,5,50,599.99,29999.5,8,96,2023,1,1,January,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.15
493,2,1,50,608.59,30429.5,9,97.3,2024,2,5,May,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
425,2,3,50,587.21,29360.5,7,98,2024,1,2,February,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.15
383,2,2,50,667.18,33359,10,94.8,2024,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
166,2,1,50,564.86,28243,13,95.7,2023,2,6,June,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.15
63,2,6,50,608.69,30434.5,12,95.5,2023,1,3,March,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.15
462,2,2,50,624.19,31209.5,18,95.2,2024,2,4,April,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.15
457,2,7,50,664.06,33203,9,93.9,2024,2,4,April,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.15
1,3,7,50,441.89,22094.5,14,95.1,2023,1,1,January,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
195,3,3,50,442.32,22116,12,96.7,2023,3,7,July,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
308,3,4,50,401.22,20061,11,99.8,2023,4,11,November,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
336,3,5,50,424.54,21227,15,95.8,2023,4,12,December,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
666,3,7,50,447.56,22378,8,93.5,2024,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
138,3,1,50,419.51,20975.5,15,96,2023,2,5,May,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
110,3,2,50,433.44,21672,16,97.2,2023,2,4,April,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
251,3,1,50,416.02,20801,17,97.1,2023,3,9,September,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
151,3,2,50,449.23,22461.5,9,97.9,2023,2,5,May,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
196,3,3,50,399.32,19966,10,96.9,2023,3,7,July,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
193,3,1,50,444.84,22242,11,98.1,2023,3,7,July,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
198,3,2,50,437.03,21851.5,17,97.3,2023,3,7,July,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
203,3,4,50,468.26,23413,17,96.9,2023,3,7,July,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
493,3,5,50,412.39,20619.5,8,94.8,2024,2,5,May,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
243,3,2,50,443.62,22181,9,95.6,2023,3,8,August,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
520,3,5,50,434.72,21736,10,97.5,2024,2,6,June,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
258,3,3,50,412.91,20645.5,11,97.5,2023,3,9,September,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
405,3,1,50,396.77,19838.5,7,98.6,2024,1,2,February,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
380,3,6,50,427.17,21358.5,5,95.7,2024,1,1,January,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
609,3,4,50,458.36,22918,11,97.5,2024,3,8,August,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
637,3,6,50,409.09,20454.5,8,95.6,2024,3,9,September,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
470,3,5,50,422.34,21117,11,97.2,2024,2,4,April,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
370,3,4,50,403.71,20185.5,9,96.1,2024,1,1,January,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
286,3,1,50,441.93,22096.5,17,96.5,2023,4,10,October,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
599,3,5,50,412.68,20634,18,93.9,2024,3,8,August,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
507,3,2,50,443.39,22169.5,7,95.6,2024,2,5,May,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
702,3,3,50,394.75,19737.5,9,99.9,2024,4,12,December,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
102,3,4,50,395.66,19783,14,96.3,2023,2,4,April,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
687,3,3,50,430.59,21529.5,12,98.9,2024,4,11,November,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
246,3,2,50,407.83,20391.5,11,96.9,2023,3,9,September,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
487,3,2,50,455.37,22768.5,10,96,2024,2,5,May,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
564,3,5,50,417.43,20871.5,18,96.5,2024,3,7,July,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
143,3,3,50,412.33,20616.5,8,98.8,2023,2,5,May,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
382,3,6,50,423.15,21157.5,12,97,2024,1,1,January,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
386,3,7,50,454.55,22727.5,7,93,2024,1,1,January,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
163,3,1,50,388.08,19404,16,98.4,2023,2,6,June,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
254,3,2,50,388.59,19429.5,15,96.5,2023,3,9,September,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
367,3,5,50,448.82,22441,8,96.6,2024,1,1,January,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
517,3,4,50,452.35,22617.5,15,99.6,2024,2,5,May,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
144,3,7,50,433.23,21661.5,9,95.5,2023,2,5,May,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
314,3,6,50,419.05,20952.5,7,95.6,2023,4,11,November,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
198,3,1,50,405.22,20261,18,95.6,2023,3,7,July,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
258,3,1,50,398.19,19909.5,11,96.1,2023,3,9,September,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
258,3,6,50,475.66,23783,6,96.6,2023,3,9,September,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
110,3,3,50,458.55,22927.5,9,96.6,2023,2,4,April,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
714,3,7,50,394.69,19734.5,11,93.6,2024,4,12,December,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
455,3,4,50,430.6,21530,11,96,2024,1,3,March,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
70,3,4,50,465.69,23284.5,17,96.7,2023,1,3,March,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
270,3,4,50,441.66,22083,7,96.4,2023,3,9,September,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,256GB,0.18
100,3,5,50,403.88,20194,9,94.2,2023,2,4,April,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
665,3,7,50,441.4,22070,11,93.7,2024,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
108,3,1,50,473.92,23696,9,97.2,2023,2,4,April,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,256GB,0.18
507,3,7,50,428.98,21449,13,94.2,2024,2,5,May,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
286,3,7,50,469.7,23485,5,93,2023,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
380,3,2,50,400.86,20043,12,96.9,2024,1,1,January,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,256GB,0.18
459,3,5,50,436.64,21832,8,97.3,2024,2,4,April,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
275,3,5,50,438.99,21949.5,8,96.5,2023,4,10,October,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
270,3,3,50,421.97,21098.5,12,99.5,2023,3,9,September,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
493,3,7,50,427.03,21351.5,11,93.9,2024,2,5,May,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,256GB,0.18
569,3,3,50,405.69,20284.5,10,98.1,2024,3,7,July,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,256GB,0.18
172,3,5,50,415.84,20792,17,95.4,2023,2,6,June,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,256GB,0.18
551,3,6,50,438.7,21935,10,94.2,2024,3,7,July,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,256GB,0.18
1,4,4,50,350.51,17525.5,13,96.5,2023,1,1,January,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,128GB,0.17
2,4,7,50,390.19,19509.5,12,94.1,2023,1,1,January,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,128GB,0.17
220,4,5,50,361.49,18074.5,17,96.1,2023,3,8,August,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
156,4,6,50,339.84,16992,9,96.4,2023,2,6,June,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,128GB,0.17
347,4,6,50,356.1,17805,6,97.2,2023,4,12,December,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,128GB,0.17
645,4,7,50,351.06,17553,11,95.6,2024,4,10,October,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,128GB,0.17
367,4,3,50,360.68,18034,11,99.3,2024,1,1,January,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,128GB,0.17
251,4,5,50,329.99,16499.5,15,96,2023,3,9,September,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
476,4,5,50,348.1,17405,9,97.2,2024,2,4,April,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
149,4,3,50,340.47,17023.5,11,99,2023,2,5,May,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,128GB,0.17
161,4,2,50,345.9,17295,11,97.4,2023,2,6,June,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,128GB,0.17
206,4,2,50,346.24,17312,15,96.6,2023,3,7,July,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,128GB,0.17
221,4,2,50,343.09,17154.5,9,94.8,2023,3,8,August,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,128GB,0.17
221,4,5,50,348.07,17403.5,14,96.2,2023,3,8,August,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
402,4,7,50,324.38,16219,7,95.4,2024,1,2,February,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,128GB,0.17
373,4,5,50,391.54,19577,8,94.9,2024,1,1,January,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
703,4,3,50,346.88,17344,8,98.5,2024,4,12,December,Taiwan,Hsinchu,Processors,Tier 1,99.2,Smartphone,Galaxy S,128GB,0.17
258,4,6,50,336.46,16823,11,95.8,2023,3,9,September,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,128GB,0.17
278,4,4,50,363.39,18169.5,16,97.3,2023,4,10,October,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,128GB,0.17
423,4,1,50,379.4,18970,12,97.2,2024,1,2,February,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,128GB,0.17
471,4,1,50,380.84,19042,14,96.6,2024,2,4,April,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,128GB,0.17
435,4,7,50,323.83,16191.5,9,94.1,2024,1,3,March,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,128GB,0.17
422,4,1,50,348.3,17415,12,98.2,2024,1,2,February,South Korea,Seoul,Integrated Components,Tier 1,98.5,Smartphone,Galaxy S,128GB,0.17
433,4,6,50,360.43,18021.5,8,97,2024,1,3,March,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,128GB,0.17
436,4,4,50,377.62,18881,9,97.1,2024,1,3,March,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,128GB,0.17
522,4,4,50,361.29,18064.5,18,97.4,2024,2,6,June,Japan,Tokyo,Image Sensors,Tier 1,98.9,Smartphone,Galaxy S,128GB,0.17
690,4,6,50,357.05,17852.5,14,94.4,2024,4,11,November,Vietnam,Thai Nguyen,Final Assembly,Tier 2,96.8,Smartphone,Galaxy S,128GB,0.17
87,4,5,50,368.63,18431.5,8,95.7,2023,1,3,March,China,Beijing,Display Panels,Tier 1,96.5,Smartphone,Galaxy S,128GB,0.17
105,4,7,50,320.22,16011,11,96.7,2023,2,4,April,India,Noida,Regional Assembly,Tier 2,95.9,Smartphone,Galaxy S,128GB,0.17
599,4,2,50,343.59,17179.5,8,96.7,2024,3,8,August,South Korea,Icheon,DRAM & NAND Flash,Tier 1,97.8,Smartphone,Galaxy S,128GB,0.17
